userID,placeID,rating,food_rating,service_rating,latitude_user,longitude_user,smoker,dress_preference,budget,ambience,latitude_rest,longitude_rest,smoking_area,dress_code,price,Rambience,alcohol,distancia_km,match_cocina,compat_fumador,payment_match_ratio,rating_category
U1077,135085,2,2,2,22.156469,-100.98554,false,elegant,medium,family,22.150802,-100.98268,not permitted,informal,medium,familiar,No_Alcohol_Served,0.695580631326126,0,1,0.3333333333333333,Alto
U1077,135038,2,2,1,22.156469,-100.98554,false,elegant,medium,family,22.155651,-100.977767,section,informal,medium,familiar,No_Alcohol_Served,0.8056479817334619,0,1,0.3333333333333333,Alto
U1077,132825,2,2,2,22.156469,-100.98554,false,elegant,medium,family,22.1473922,-100.983092,none,informal,low,familiar,No_Alcohol_Served,1.0403055079094734,1,1,0.3333333333333333,Alto
U1077,135060,1,2,2,22.156469,-100.98554,false,elegant,medium,family,22.156883,-100.978485,none,informal,medium,familiar,No_Alcohol_Served,0.7280080010030283,0,1,0.3333333333333333,Medio
U1068,135104,1,1,2,23.752269,-99.168605,false,informal,low,friends,23.752982100000004,-99.16843409999998,not permitted,informal,medium,familiar,Full_Bar,0.08117838495354604,1,1,1.0,Medio
U1068,132740,0,0,0,23.752269,-99.168605,false,informal,low,friends,23.7521965,-99.1666317,permitted,informal,low,familiar,No_Alcohol_Served,0.2009968033701183,1,1,1.0,Bajo
U1068,132663,1,1,1,23.752269,-99.168605,false,informal,low,friends,23.7525107,-99.1669536,none,informal,low,familiar,No_Alcohol_Served,0.17020832457081586,1,1,0.0,Medio
U1068,132732,0,0,0,23.752269,-99.168605,false,informal,low,friends,23.7543569,-99.171288,none,casual,low,familiar,No_Alcohol_Served,0.35841832349739594,1,1,1.0,Bajo
U1068,132630,1,1,1,23.752269,-99.168605,false,informal,low,friends,23.7529305,-99.1644725,none,informal,low,familiar,No_Alcohol_Served,0.4269726486294636,1,1,0.0,Medio
U1067,132584,2,2,2,23.752269,-99.168605,false,no preference,medium,family,23.7523648,-99.1652879,not permitted,informal,medium,familiar,No_Alcohol_Served,0.33776979144609703,1,1,1.0,Alto
U1067,132733,1,1,1,23.752269,-99.168605,false,no preference,medium,family,23.7527071,-99.1625655,not permitted,informal,medium,familiar,No_Alcohol_Served,0.6166037870890241,0,1,1.0,Medio
U1067,132732,1,2,2,23.752269,-99.168605,false,no preference,medium,family,23.7543569,-99.171288,none,casual,low,familiar,No_Alcohol_Served,0.35841832349739594,1,1,1.0,Medio
U1067,132630,1,0,1,23.752269,-99.168605,false,no preference,medium,family,23.7529305,-99.1644725,none,informal,low,familiar,No_Alcohol_Served,0.4269726486294636,1,1,0.0,Medio
U1067,135104,0,0,0,23.752269,-99.168605,false,no preference,medium,family,23.752982100000004,-99.16843409999998,not permitted,informal,medium,familiar,Full_Bar,0.08117838495354604,1,1,1.0,Bajo
U1067,132560,1,0,0,23.752269,-99.168605,false,no preference,medium,family,23.752304100000003,-99.1669133,permitted,informal,low,familiar,No_Alcohol_Served,0.17221903803268535,0,1,1.0,Medio
U1103,132584,1,2,1,23.752265,-99.16859,false,formal,medium,friends,23.7523648,-99.1652879,not permitted,informal,medium,familiar,No_Alcohol_Served,0.33625830157412356,1,1,0.5,Medio
U1103,132732,0,0,2,23.752265,-99.16859,false,formal,medium,friends,23.7543569,-99.171288,none,casual,low,familiar,No_Alcohol_Served,0.3598700919594093,1,1,0.5,Bajo
U1103,132630,1,2,0,23.752265,-99.16859,false,formal,medium,friends,23.7529305,-99.1644725,none,informal,low,familiar,No_Alcohol_Served,0.4255460404004227,1,1,0.0,Medio
U1103,132613,2,2,2,23.752265,-99.16859,false,formal,medium,friends,23.7529035,-99.165076,permitted,informal,medium,familiar,No_Alcohol_Served,0.3646198425649215,1,1,0.5,Alto
U1103,132667,1,2,2,23.752265,-99.16859,false,formal,medium,friends,23.7526973,-99.1633594,none,informal,low,familiar,No_Alcohol_Served,0.5345156865283813,0,1,0.5,Medio
U1103,135104,1,2,0,23.752265,-99.16859,false,formal,medium,friends,23.752982100000004,-99.16843409999998,not permitted,informal,medium,familiar,Full_Bar,0.08130121372375254,1,1,0.5,Medio
U1103,132663,1,0,2,23.752265,-99.16859,false,formal,medium,friends,23.7525107,-99.1669536,none,informal,low,familiar,No_Alcohol_Served,0.16877243809954662,1,1,0.0,Medio
U1103,132733,2,2,2,23.752265,-99.16859,false,formal,medium,friends,23.7527071,-99.1625655,not permitted,informal,medium,familiar,No_Alcohol_Served,0.6151173258263515,0,1,1.0,Alto
U1107,132660,2,2,1,23.742409,-99.171889,false,no preference,high,friends,23.752942800000003,-99.1646791,none,informal,low,familiar,No_Alcohol_Served,1.3821905684088014,0,1,0.0,Alto
U1107,132584,2,2,2,23.742409,-99.171889,false,no preference,high,friends,23.7523648,-99.1652879,not permitted,informal,medium,familiar,No_Alcohol_Served,1.2949599946649153,1,1,0.5,Alto
U1107,132733,2,2,2,23.742409,-99.171889,false,no preference,high,friends,23.7527071,-99.1625655,not permitted,informal,medium,familiar,No_Alcohol_Served,1.487192782918227,0,1,1.0,Alto
U1044,135088,2,2,2,18.95298,-99.260789,true,informal,medium,family,18.8760113,-99.2198896,not permitted,informal,low,quiet,No_Alcohol_Served,9.579022905663013,0,2,0.25,Alto
U1044,132583,1,2,1,18.95298,-99.260789,true,informal,medium,family,18.9222904,-99.234332,not permitted,informal,low,familiar,No_Alcohol_Served,4.403234064002592,0,2,1.0,Medio
U1070,132608,2,2,1,23.753237,-99.166868,false,informal,low,friends,23.7588052,-99.1651297,permitted,informal,low,quiet,No_Alcohol_Served,0.6439345300636813,1,1,1.0,Alto
U1070,132609,1,1,1,23.753237,-99.166868,false,informal,low,friends,23.760268300000003,-99.1658646,not permitted,informal,low,quiet,No_Alcohol_Served,0.7884856788515118,0,1,1.0,Medio
U1070,132613,1,1,0,23.753237,-99.166868,false,informal,low,friends,23.7529035,-99.165076,permitted,informal,medium,familiar,No_Alcohol_Served,0.18611375636581268,1,1,1.0,Medio
U1031,132663,0,0,0,23.735698,-99.159851,false,informal,medium,solitary,23.7525107,-99.1669536,none,informal,low,familiar,No_Alcohol_Served,2.0043942571069833,1,1,0.0,Bajo
U1031,132665,0,0,0,23.735698,-99.159851,false,informal,medium,solitary,23.7367977,-99.1342413,none,informal,low,familiar,No_Alcohol_Served,2.6096455168597927,1,1,0.0,Bajo
U1031,132668,0,0,0,23.735698,-99.159851,false,informal,medium,solitary,23.738212,-99.1519547,none,informal,low,familiar,No_Alcohol_Served,0.8509753376556357,1,1,0.0,Bajo
